2025-02-18 00:52:49,627 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:49] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:49,971 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:49] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:49,971 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:49] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:50,230 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:50] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:50,230 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:50] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:50,493 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:50] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:50,493 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:50] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:52,237 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=9&y=12&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,249 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=7&y=12&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,249 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=7&y=12&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,237 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=9&y=12&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,361 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=8&y=12&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,422 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=8&y=11&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,361 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=8&y=12&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,422 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=8&y=11&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,478 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=9&y=11&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,478 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=9&y=11&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,512 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=7&y=11&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,512 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=7&y=11&zoom=5&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,677 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=15&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,677 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=15&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,762 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=14&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,762 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=14&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,844 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=14&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,844 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=14&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,944 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=15&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,964 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=16&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,964 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=16&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:52,944 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:52] "GET /api/meteosource/tile?x=15&y=25&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,033 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=16&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,033 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=16&y=24&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,416 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=16&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,416 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=16&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,702 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=15&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,702 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=15&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
2025-02-18 00:52:53,782 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:53] "GET /api/meteosource/tile?x=14&y=26&zoom=6&variable=temperature&datetime=now HTTP/1.1" 200 -
